"","site","latitude","longitude","N","npp.mean","npp.sd","npp.cv"
"34","67_1538529",-26.55,25.59,11,3599.63636363636,484.016171780917,0.134462518678404
"35","67_1539188",-32.32,22.62,11,1595.09090909091,256.27463961362,0.160664597956789
"36","67_1539917",-32.36,22.62,11,1059.27272727273,137.4322312335,0.129742065187822
"37","67_1539965",-28.48,24.77,11,1966.63636363636,380.073485717505,0.193260682424655
"38","67_1541421",-28.805,24.82,11,1823.27272727273,363.366506686869,0.199293556718965
"39","67_1542815",-34.1,22.05,11,8760.81818181818,1154.82672450735,0.131817223065309
"40","67_1545737",-33.97,22.665,11,20958.8181818182,595.372457908798,0.0284067762191518
"41","67_1545783",-30.25,24.75,11,2155.09090909091,204.410104713761,0.0948498756370276
"42","67_1546522",-29.53,25.25,11,1173.90909090909,282.680545685569,0.240802757108438
"43","67_1547196",-34.02,22.87,11,11311.8181818182,797.881422039869,0.0705352056773974
"44","67_1547303",-25.32,27.46,11,4291.45454545455,628.024738945269,0.146343094699783
"45","67_1547926",-34.07,22.95,11,8669.09090909091,571.70629776931,0.0659476643819464
"46","67_1548655",-34.07,23.03,11,14111,493.126555764339,0.0349462515600836
"47","67_1549475",-26.75,27.1,11,5905.36363636364,540.414891121122,0.0915125510296086
"48","67_1549480",-26.35,27.26,11,5300.36363636364,471.471584027558,0.0889507996758908
"49","67_1550210",-26.32,27.33,11,3680,337.243235662333,0.0916421836038949
"50","67_1550212",-26.21,27.43,11,6687.27272727273,643.522352511409,0.0962309118763662
"51","67_1550224",-25.17,27.85,11,2456.90909090909,363.737667707224,0.148046856537389
"52","67_1550846",-34.01,23.38,11,10087.1818181818,726.907809585482,0.0720625267480808
"53","67_1551598",-32.22,24.53,11,1848.27272727273,932.870847535616,0.504725754900977
"54","67_1553135",-25.95,28,11,6790.81818181818,505.747134086159,0.0744751398940783
"55","67_1553833",-28.57,26.83,11,3620.54545454545,350.449529500715,0.0967946774596462
"56","67_1553868",-25.62,28.18,11,5642.54545454545,553.630628422302,0.0981171765264761
"57","67_1553869",-25.57,28.23,11,7183.36363636364,578.873262938836,0.0805852650989938
"58","67_1553882",-24.52,28.73,11,3725.90909090909,258.00637765197,0.0692465573788378
"59","67_1554537",-30.62,25.83,11,2143.72727272727,235.617100783916,0.109910016904418
"60","67_1554554",-29.29,26.62,11,1626.90909090909,501.645981653487,0.308342970394969
"61","67_1554598",-25.63,28.34,11,6017.90909090909,587.613896116396,0.0976441962215864
"62","67_1554603",-25.21,28.5,11,4628.81818181818,326.294289923014,0.0704919219347791
"63","67_1555325",-25.87,28.28,11,5563.63636363636,286.627030381739,0.0515179302973715
"64","67_1556050",-26.29,28.2,11,5693.54545454545,344.248271930699,0.0604629004333087
"65","67_1556052",-26.13,28.3,11,6832.63636363636,364.537590030788,0.0533524061035759
"66","67_1556053",-26.04,28.37,11,6384,485.534756737352,0.0760549430979562
"67","67_1556743",-29.29,26.85,11,4269.45454545455,533.385107335472,0.124930503804833
"68","67_1556779",-26.32,28.28,11,6404.36363636364,244.248346044461,0.0381378010232947
"69","67_1556780",-26.23,28.32,11,4503.81818181818,299.828890596559,0.0665721568883403
"70","67_1556784",-25.98,28.45,11,7746.09090909091,424.132397853655,0.0547543790579436
"71","67_1557464",-30.07,26.65,11,3177.09090909091,455.09195873921,0.143241717584163
"72","67_1557511",-26.22,28.47,11,3898.72727272727,240.548161875784,0.0616991507865882
"73","67_1558198",-29.76,26.85,11,2410.90909090909,545.948615630712,0.226449274959948
"74","67_1558239",-26.35,28.51,11,6003,673.034174466646,0.112116304258978
"75","67_1558240",-26.28,28.5,11,6765.81818181818,346.604910000369,0.0512288241696772
"76","67_1558244",-25.91,28.715,11,5468.36363636364,398.500005703205,0.0728737209525079
"77","67_1558926",-29.87,26.87,11,4809,351.723470925669,0.0731385882565334
"78","67_1560335",-34.04,24.915,11,8744.36363636364,625.465150544341,0.0715278065453876
"79","67_1560336",-33.95,24.96,11,8377,479.405047950061,0.0572287272233569
"80","67_1561162",-26.07,29.07,11,6085.18181818182,314.284208378919,0.0516474639163408
"81","67_1561886",-26.57,28.95,11,5479.81818181818,351.83826346258,0.064206192940847
"82","67_1562623",-25.98,29.33,11,5293.18181818182,278.738521981379,0.0526599182790067
"83","67_1562624",-25.88,29.345,11,6295.72727272727,323.703905107458,0.0514164434202423
"84","67_1563351",-26.12,29.37,11,6021,349.585468805555,0.0580610311917548
"85","67_1563354",-25.92,29.46,11,4905.54545454545,653.634969021145,0.133244095906907
"86","67_1563355",-25.805,29.53,11,6524.81818181818,498.418061105698,0.0763880382896449
"87","67_1564082",-26.02667,29.5,11,7319,273.593128568683,0.0373812171838616
"88","67_1564084",-25.86,29.535,11,5879.36363636364,380.970674127884,0.0647979437386038
"89","67_1564085",-25.77,29.6175,11,5599.54545454545,476.055325279817,0.0850167802269339
"90","67_1564715",-34.02,25.68,11,11342.6363636364,662.906671067243,0.0584437911800181
"91","67_1564812",-26.04,29.57,11,6409.54545454545,348.832155523645,0.0544238523616779
"92","67_1564813",-25.93333,29.63,11,6651.63636363636,454.570406587862,0.0683396358034453
"93","67_1564814",-25.85,29.68,11,6877,435.621395250509,0.0633446844918582
"94","67_1564815",-25.785,29.675,11,5919.36363636364,370.62737964896,0.0626127067734333
"95","67_1565541",-26.09667,29.68667,11,6770,425.322230785084,0.062824554030293
"96","67_1565545",-25.75,29.775,11,6999.81818181818,491.172844970448,0.0701693718625799
"97","67_1566270",-26.17,29.74,11,8347.45454545455,530.81265313411,0.063589762632868
"98","67_1566277",-25.62,30.03,11,7968.90909090909,276.157366204653,0.0346543501819707
"99","67_1567003",-25.92,29.93,11,6764.18181818182,402.106408350282,0.0594464222220399
"100","67_1567007",-25.57,30.1,11,7589.27272727273,438.497455160025,0.0577785870817694
"101","67_1567765",-23.25,31.17,11,5050.27272727273,889.199312967469,0.176069563167464
"102","67_1568470",-25.35,30.4,11,7816.09090909091,474.756243675732,0.060740880473069
"103","67_1569173",-27.57,29.58,11,7888.27272727273,689.451244238357,0.0874020546798115
"104","67_1569829",-33.645,26.575,11,9845.18181818182,882.621642401977,0.0896501109580298
"105","67_1569918",-26.30667,30.20333,11,6244.27272727273,599.67325951873,0.0960357251693338
"106","67_1569945",-24.02,31.17,11,4735.54545454545,841.911796287041,0.177785601335307
"107","67_1570648",-26.30667,30.29333,11,6823.90909090909,529.381989596445,0.0775775266850632
"108","67_1571377",-26.34,30.36667,11,7424.18181818182,408.959122207053,0.0550847396012733
"109","67_1572020",-33.54,27.02,11,11977.1818181818,857.423911280974,0.0715881184987417
"110","67_1573547",-27.95,29.95,11,4163.72727272727,275.97032119744,0.0662796343567136
"111","67_1574984",-29.85,29.32,11,10088.7272727273,257.072787711609,0.0254811911118413
"112","67_1575721",-29.25,29.68,11,8216.72727272727,230.163894175038,0.0280116263489713
"113","67_1576445",-29.82,29.58,11,9545.36363636364,285.742986870115,0.029935264674628
"114","67_1577175",-29.79,29.62,11,8009.54545454545,217.724763697823,0.0271831610087515
"115","67_1577199",-27.82,30.58,11,7728.18181818182,359.251950080112,0.0464859598974384
"116","67_1584459",-31.03,30.22,11,12211.4545454545,682.599057080562,0.0558982596659335
"117","67_1585190",-30.925,30.3025,11,18536.6363636364,742.548755668915,0.0400584410840354
"118","67_1585934",-29.79,31,11,13146.2727272727,1161.31452164425,0.0883379301294302
"119","67_1585969",-26.87,32.28,11,10765.9090909091,872.698854650956,0.08106132489897
"120","67_1586663",-29.82,31.03,11,11565.6363636364,617.090637220704,0.0533555282060315
"121","67_1587398",-29.37,31.35,11,11718.8181818182,509.706546589666,0.043494705582213
"122","67_1588149",-27.6,32.2,11,10238.0909090909,1165.93811624335,0.113882375786296
"123","67_1588878",-27.67,32.32,11,11843.4545454545,710.58882113869,0.0599984420433656
"124","67_1589609",-27.64,32.415,11,11751.9090909091,836.558121656285,0.0711848700653598
"125","67_1590328",-28.49,32.175,11,11827.7272727273,646.362451092124,0.0546480685754841
"126","67_1590329",-28.425,32.205,11,13420.4545454545,791.945498583882,0.0590103335100606
"127","67_1591057",-28.62,32.27,11,17316.6363636364,565.332870568707,0.0326468061520229
"128","67_1591066",-27.87,32.59,11,9179.09090909091,583.936375737195,0.0636159268407363
"129","67_1591068",-27.67,32.62,11,9647.36363636364,482.311159466018,0.0499940893331781
"130","70_1067161",51,4,11,6354.81818181818,428.10858860383,0.0673675589694596
"131","194_298432",44.244,-122.158,11,7980.36363636364,469.45868246892,0.058826728186892
"132","195_227724",53.9333,-122.8,11,4595.81818181818,210.60997990685,0.0458264386393826
"133","195_242307",52.1667,-122.067,11,5380.63636363636,383.587088606296,0.0712902829112687
"134","195_253252",51.4,-120.667,11,5151.09090909091,472.217842641604,0.0916733660841066
"135","195_253298",54.0833,-114.75,11,5020,295.568604557385,0.0588782080791604
"136","195_260507",48.1167,-124.667,11,9392.45454545455,956.713265679573,0.101859770632861
"137","195_2657880",30.1833,-83.9167,11,9570.27272727273,709.1322994913,0.0740973971902035
"138","195_2661544",30.2,-82.25,11,6371.54545454545,621.699181861512,0.0975743147870023
"139","195_2665194",29.8333,-81.8167,11,8513.18181818182,888.047838596752,0.104314445240689
"140","195_2673942",28.55,-81.9833,11,7375.36363636364,842.275046849575,0.114201155139905
"141","195_2675397",28.3167,-82.3,11,6458.18181818182,817.38715651542,0.126566141915394
"142","195_2680502",27.6667,-82.15,11,5744.54545454545,418.310497988364,0.0728187288791264
"143","195_2686342",27.3,-81.3833,11,5388.63636363636,593.626527831645,0.110162662271583
"144","195_269296",49.6,-119.717,11,4966.36363636364,392.035782225876,0.0789381952129716
"145","195_269338",52.0167,-114.483,11,5278.54545454545,275.035766269176,0.0521044610939814
"146","195_270003",48.1333,-122.333,11,8783.54545454545,407.460025925578,0.0463890154646742
"147","195_270013",48.75,-121.217,11,4850.27272727273,611.392523819042,0.126053225910623
"148","195_271495",49.9833,-118.333,11,5268.63636363636,485.176518955168,0.0920876836943637
"149","195_280230",48.0833,-119.733,11,3856.18181818182,419.393089638305,0.10875863987037
"150","195_285344",48.05,-118.5,11,4643.45454545455,516.986917365684,0.111336702514243
"151","195_285441",53.1,-105.85,11,4522.63636363636,201.129447235989,0.0444717264587405
"152","195_286046",46.35,-121.583,11,6922.27272727273,743.499575105338,0.107406859625172
"153","195_286885",52.25,-107.85,11,4308.36363636364,306.182061109815,0.0710669031103977
"154","195_289043",50.5667,-111.85,11,4286.81818181818,305.467451026069,0.0712573843979802
"155","195_289088",52.7333,-105.65,11,3209.18181818182,355.429266713313,0.110753857790047
"156","195_298564",51.4,-106.117,11,3305.09090909091,282.46821220996,0.0854645817556816
"157","195_299148",43.35,-123.5,11,7791.18181818182,402.293877204667,0.051634512785449
"158","195_299229",48.1167,-114.467,11,5397.81818181818,377.121947964267,0.0698656263070423
"159","195_300596",42.5167,-124.4,11,10328.0909090909,390.677220873051,0.0378266636411161
"160","195_302139",47.3667,-115.15,11,5160.18181818182,446.241597832792,0.0864778826708135
"161","195_302794",42.9333,-123.233,11,8352.72727272727,428.51583189168,0.0513025049064919
"162","195_304977",42.4167,-123.667,11,8117.27272727273,604.651319507217,0.0744894670688698
"163","195_310814",41.9167,-123.067,11,6709,683.683406263455,0.101905411576011
"164","195_310869",45.2833,-117.217,11,5388.72727272727,436.632360438182,0.0810269917811593
"165","195_312358",46.7,-113.65,11,5086.90909090909,421.097246380324,0.08278057241732
"166","195_313013",42.3667,-121.8,11,6464.81818181818,487.606156274061,0.0754245738334013
"167","195_313733",41.75,-122.667,11,5551.36363636364,500.831962384046,0.0902178266801688
"168","195_315196",41.85,-122.15,11,6396.45454545455,517.448811697614,0.0808961914792819
"169","195_315198",41.9833,-121.9,11,3846.72727272727,911.697657220758,0.237006055429133
"170","195_320309",41.8333,-121.1,11,1687,210.429560661044,0.124735957712533
"171","195_321755",40.8833,-122.3,11,3699.18181818182,1041.24759958252,0.281480514005744
"172","195_324130",50.2,-99.9833,11,5060.27272727273,261.82172977394,0.0517406361050131
"173","195_324681",41.1,-121.267,11,5148.72727272727,505.307647064457,0.0981422437620777
"174","195_324767",45.8833,-111.8,11,2135.90909090909,288.519480987144,0.135080412464719
"175","195_325406",40.8,-121.583,11,4368.36363636364,604.903343142898,0.138473669661448
"176","195_325481",45,-113.567,11,2343.09090909091,144.883024916968,0.0618341458092129
"177","195_326934",44.55,-114.217,11,5399.18181818182,328.287623337164,0.0608032169303228
"178","195_328399",44.7833,-113.367,11,2550.45454545455,159.127850256555,0.0623919569710251
"179","195_329773",39.7667,-122.25,11,5314.18181818182,724.613527086242,0.136354673565565
"180","195_330522",40.85,-120.25,11,1414.27272727273,184.72308513507,0.130613481807917
"181","195_331961",39.55,-122.067,11,656.181818181818,767.231362521348,1.1692359362337
"182","195_334153",39.6,-121.617,11,6604.18181818182,855.742463382742,0.129575848597447
"183","195_334265",45.7,-109.45,11,2294,312.528078738535,0.136237174689858
"184","195_335092",49.7167,-96.7167,11,4566.90909090909,382.011375366089,0.0836476855049562
"185","195_335812",49.3833,-98.0167,11,3413,377.490927043287,0.110603846189067
"186","195_336328",38.5667,-122.717,11,12000.6363636364,959.721654723626,0.0799725635910208
"187","195_336428",44.2333,-112.267,11,1587.54545454545,210.227668795696,0.132423086339842
"188","195_337076",39.5667,-120.85,11,4782.54545454545,975.71106006198,0.204015010277558
"189","195_339990",39.05,-121.017,11,7308.36363636364,866.613670873853,0.118578345850487
"190","195_340147",47.2167,-103.367,11,3376.90909090909,580.702411661163,0.171962701994099
"191","195_340214",49.7167,-94.25,11,6110.81818181818,276.250183052181,0.0452067423432957
"192","195_342256",43.15,-112.8,11,1774.09090909091,355.908823870793,0.200614761085253
"193","195_342907",38.75,-120.933,11,5654.27272727273,569.89281288837,0.100789763843466
"194","195_344370",38.85,-120.45,11,6668.54545454545,686.058213803517,0.102879738689624
"195","195_345904",42.85,-112.483,11,2232.27272727273,243.710521278459,0.109175961476809
"196","195_349600",44.8833,-106.717,11,2837.90909090909,492.464710318507,0.173530826584988
"197","195_351655",37.5833,-120.833,11,5388.63636363636,441.971554000316,0.0820191833657272
"198","195_355352",40.0667,-115.617,11,2494.45454545455,292.968381787647,0.117447873452535
"199","195_356020",36.45,-121.667,11,8249.36363636364,603.596433509555,0.0731688479398422
"200","195_359688",37.3,-119.367,11,7014.90909090909,1220.36555626136,0.173967408621571
"201","195_362098",47.3333,-93.6333,11,5929.90909090909,676.781863608276,0.114130225815067
"202","195_363572",47.6833,-91.5,11,6559.36363636364,552.728554125309,0.084265575864876
"203","195_364273",46.75,-95.4667,11,5928.63636363636,474.492628547014,0.0800340245958315
"204","195_364307",47.7333,-90.6833,11,7565.09090909091,607.689962817464,0.0803281771653541
"205","195_364792",36.65,-119.283,11,4763.27272727273,613.958319580261,0.128894219317942
"206","195_366641",47.9333,-68.9167,11,6034.09090909091,321.375311604813,0.0532599386463721
"207","195_367104",42.8667,-106.117,11,1959.90909090909,367.875374154198,0.187700223372892
"208","195_367125",43.8167,-103.633,11,4071.90909090909,413.851532447436,0.101635749523828
"209","195_367946",47.0667,-91.8,11,6691.27272727273,700.413747853237,0.104675713634933
"210","195_368566",42.8167,-105.733,11,1840.54545454545,330.685156496739,0.179666932799769
"211","195_371366",36.5,-118.133,11,2445.18181818182,130.211994978818,0.0532524796359071
"212","195_371599",46.8333,-90.95,11,7530.09090909091,651.997769098247,0.0865856437816846
"213","195_371736",47.65,-70.6167,11,6103,575.429231096231,0.0942862905286304
"214","195_374507",46.3167,-92.2333,11,7614.63636363636,1034.01201856915,0.135792698323333
"215","195_376693",45.9667,-92.5,11,7715.72727272727,1276.51017159356,0.165442624716095
"216","195_376704",46.3,-91.0667,11,6084.81818181818,859.763667315829,0.141296525487788
"217","195_378144",45.5667,-93.5,11,5423.90909090909,365.383211038891,0.0673652904049043
"218","195_380327",45.1667,-94.2,11,5807.09090909091,392.688796515881,0.067622291895092
"219","195_380342",45.6333,-92.25,11,7819.18181818182,1072.1535168232,0.137118376545503
"220","195_380361",46.1833,-89.6333,11,6507.09090909091,576.884815980704,0.0886547958281559
"221","195_381215",46.7,-71.4667,11,4613.90909090909,400.263776663703,0.0867515524855818
"222","195_381255",45.7167,-65.95,11,7918.72727272727,405.942136494622,0.0512635582100067
"223","195_381256",45.6333,-65.7167,11,6878.54545454545,367.079109630707,0.0533658041596767
"224","195_381764",44.2333,-96.95,11,4928.54545454545,580.091951958716,0.117700436631606
"225","195_381797",45.3833,-92.7,11,5843.18181818182,365.961423699771,0.0626305042504471
"226","195_383219",43.95,-97.4667,11,4203.54545454545,716.963369166984,0.170561583529852
"227","195_383250",44.9667,-93.4667,11,5545.81818181818,317.964720741726,0.0573341408458295
"228","195_383282",45.9333,-89.1833,11,6373.09090909091,478.95124063843,0.0751521118199065
"229","195_384004",45.6333,-90.2,11,6346.63636363636,811.792371573825,0.127909072627048
"230","195_385320",39.9833,-107.667,11,4398.90909090909,148.184651395112,0.0336866819324261
"231","195_386898",44.65,-93.3333,11,5879.72727272727,483.566353442646,0.0822429903654948
"232","195_386922",45.3333,-90.0667,11,8573.63636363636,821.079931885718,0.0957679912071137
"233","195_387054",46.0167,-71.1333,11,6180.09090909091,542.657434215262,0.0878073546486206
"234","195_387655",45.3167,-89.6167,11,6480.63636363636,535.842938318174,0.0826836915777058
"235","195_387661",45.4833,-88.75,11,6544.63636363636,420.594643980941,0.0642655482461745
"236","195_388422",46.2167,-84.35,11,8198.45454545455,590.18477846118,0.0719873209260391
"237","195_389718",40.5,-105.067,11,3081,330.874598601948,0.107391950211603
"238","195_389962",45.95,-72.5833,11,5958.27272727273,331.090347460958,0.055568175982523
"239","195_390585",45.3667,-87.8833,11,6649.72727272727,296.448339819636,0.0445805260368298
"240","195_391296",44.8,-90.3833,11,6131.90909090909,542.033108683493,0.0883954899930085
"241","195_391397",46.35,-76.0167,11,6135.18181818182,767.52196296677,0.125101746893987
"242","195_393460",43.8167,-93.5,11,4363,571.373958104497,0.130958963581136
"243","195_393487",44.6167,-90.05,11,6492.81818181818,486.498677938968,0.074928738848919
"244","195_393604",45.7167,-73.4,11,4703.54545454545,408.455716972199,0.0868399637931576
"245","195_393633",44.9833,-69.45,11,6887.09090909091,462.869842298125,0.0672083247350692
"246","195_394222",44.7333,-89.2833,11,5960.27272727273,374.204781078246,0.0627831641605892
"247","195_394230",44.8667,-88.1667,11,6438.27272727273,387.311526012096,0.0601576761996167
"248","195_394329",45.7833,-74.0667,11,6064.18181818182,291.957126366807,0.0481445205833789
"249","195_395684",44.6167,-88.8,11,6012.45454545455,646.67988427604,0.107556719038306
"250","195_396394",44.0167,-91.4167,11,5337.09090909091,568.159564655116,0.10645491604562
"251","195_396402",44.2167,-90.3667,11,5798.90909090909,612.833167272375,0.105680768169501
"252","195_396537",45,-71.3667,11,6511.63636363636,508.958794545742,0.0781614276540342
"253","195_397142",44.4167,-88.95,11,5694.36363636364,328.165894854195,0.0576299505634941
"254","195_397193",45.7167,-81.8,11,8067.18181818182,640.782930200519,0.0794308278457692
"255","195_397713",38.3,-107.983,11,4032.72727272727,224.583209928566,0.0556901557532512
"256","195_397832",43.2,-94.0167,11,4418.72727272727,556.165998764594,0.125865654166369
"257","195_398692",45.5667,-76.1,11,5417.18181818182,322.930276741534,0.0596122278299161
"258","195_399210",39.8667,-103.667,11,2297.81818181818,452.638005072888,0.196985996827099
"259","195_399329",44.2,-89.0333,11,6102.27272727273,529.281227875898,0.0867350987953054
"260","195_399441",45.0833,-73.3333,11,4940,215.513804662254,0.0436262762474198
"261","195_400183",44.7,-71.5667,11,8993.09090909091,670.280009331243,0.0745327736711382
"262","195_400778",43.7333,-90.3167,11,6188.90909090909,676.629360070261,0.109329342236447
"263","195_401520",44.05,-88.6833,11,5520.27272727273,486.775942484649,0.0881796908474736
"264","195_403109",44.15,-70.5667,11,9524.18181818182,523.762888754409,0.0549929535946634
"265","195_403789",45.2833,-77.4667,11,6242.54545454545,355.093047984993,0.0568827332649112
"266","195_404429",43.4333,-89.8833,11,5683.09090909091,527.071618387,0.0927438302181431
"267","195_404434",43.55,-89.1833,11,5450.18181818182,502.254879156354,0.0921537842060297
"268","195_405170",43.6667,-88.35,11,6167.09090909091,631.713931229232,0.102433049964939
"269","195_405289",44.1667,-71.7167,11,6553.36363636364,486.402564287499,0.0742218181802889
"270","195_405999",44.55,-74.4833,11,6472.09090909091,451.282938863293,0.069727533992053
"271","195_406557",41.1667,-97.35,11,3906.90909090909,818.258572157415,0.20943885642525
"272","195_406644",43.8833,-86.2333,11,7808.81818181818,409.143451171302,0.0523950541099727
"273","195_406731",44.45,-74.1833,11,5798.18181818182,336.742280737604,0.0580772199453379
"274","195_407146",34.6667,-112.383,11,1691.90909090909,424.181672057022,0.25071185818211
"275","195_408755",41.35,-96.0833,11,4873.18181818182,784.379221828551,0.160958332993453
"276","195_408946",43.5,-70.5333,11,7654.36363636364,380.330191472429,0.0496880223544113
"277","195_410214",41.1667,-96.0667,11,3994.09090909091,615.487685424405,0.154099568445851
"278","195_410230",41.75,-94.0833,11,5598,691.497939259402,0.123525891257485
"279","195_411057",44.3,-81.2167,11,6014.72727272727,541.400238439011,0.0900124334637575
"280","195_411816",44.35,-77.0667,11,6376.81818181818,271.185478291821,0.042526769708604
"281","195_411854",43.4333,-71.9333,11,7259.81818181818,513.347605075122,0.0707108073809304
"282","195_411863",43.25,-70.6667,11,8975.45454545455,406.030876568855,0.0452379179809319
"283","195_412585",43.3667,-71.75,11,7384.27272727273,387.78759415667,0.0525153401667348
"284","195_412593",43.15,-70.7167,11,8763.54545454545,452.702189885661,0.0516574247527699
"285","195_413102",39.6833,-99.5667,11,2902,514.60936641301,0.177329209653002
"286","195_413318",43.2,-71.3,11,7301.27272727273,352.803653866876,0.0483208430975376
"287","195_413925",42.7833,-87.9833,11,6355.18181818182,463.711940364235,0.0729659596893957
"288","195_413990",44.3167,-79.1833,11,6428.45454545455,314.485091422905,0.0489207925791856
"289","195_415364",42.05,-90.5833,11,6050,555.065041233908,0.0917462878072575
"290","195_415384",42.6333,-88.0333,11,5089.18181818182,484.52612275951,0.0952070765144354
"291","195_415462",44.0667,-77.35,11,7093.18181818182,324.817739103584,0.0457929526451704
"292","195_416229",43.0667,-72.2,11,9519.54545454545,632.517725227738,0.0664441099890667
"293","195_416825",41.9667,-90.3,11,4863.45454545455,713.090648324091,0.146622250019907
"294","195_416832",42.1667,-89.3333,11,5113.27272727273,673.684806257213,0.131752175600564
"295","195_416957",43.0167,-72.4,11,7334.54545454545,462.205444285626,0.0630175989977923
"296","195_416961",42.8833,-71.8667,11,6827.27272727273,405.107168761327,0.0593366026148415
"297","195_418293",42.0667,-89.0833,11,4702.63636363636,670.344877317232,0.142546611194679
"298","195_418391",43.45,-75.9,11,9614.90909090909,340.979604828633,0.0354636327400152
"299","195_418418",42.8,-72.1667,11,6847.72727272727,397.016395356436,0.0579778340381122
"300","195_418959",39.8833,-96.8833,11,4399.63636363636,977.913316478232,0.222271396009186
"301","195_419719",40.8833,-93.15,11,5602.18181818182,962.284242641624,0.171769548699498
"302","195_419774",42.5167,-86.1333,11,7565.36363636364,372.850713483902,0.0492839117067367
"303","195_420551",43.55,-79.75,11,3602.72727272727,246.698638386632,0.0684755241547553
"304","195_420606",42.6167,-72.2833,11,7024.45454545455,329.981018737855,0.04697603445258
"305","195_421940",41.65,-89.0167,11,5116.63636363636,703.815639599927,0.137554359852872
"306","195_422613",39.7167,-96.0167,11,5248.72727272727,1154.67866446982,0.219992124656507
"307","195_422639",40.65,-92.8667,11,5641.09090909091,1065.55388925624,0.188891458483507
"308","195_422731",43.15,-80.9167,11,5834.72727272727,348.028760567023,0.0596478197350854
"309","195_422790",42.4667,-72.9,11,7002.72727272727,346.79621996472,0.0495230224537442
"310","195_423257",36.0833,-105.8,11,5241.63636363636,306.466726653081,0.0584677580419698
"311","195_423427",42.25,-85.4167,11,6476.54545454545,390.263081430043,0.0602579081964358
"312","195_423518",42.4167,-73.1833,11,9342.90909090909,488.023863052916,0.0522346796168419
"313","195_423520",42.35,-72.85,11,7040.81818181818,394.650432200908,0.0560517857455873
"314","195_423524",42.2667,-72.35,11,9417.27272727273,431.809238184894,0.0458528971911751
"315","195_424253",42.2167,-72.4667,11,9408.36363636364,438.269842158292,0.0465830041330848
"316","195_424883",41.9667,-85.7667,11,6468.27272727273,429.535118682766,0.0664064637954552
"317","195_424934",43.25,-78.9833,11,7473.63636363636,465.51160516732,0.0622871628371307
"318","195_424974",42.3333,-73.5,11,9453.27272727273,711.733530320034,0.0752896431588903
"319","195_425584",41.2,-89.45,11,6167.63636363636,587.658450586269,0.0952809822010636
"320","195_425677",42.9,-77.1167,11,5554.72727272727,417.852627348229,0.075224688239837
"321","195_426170",35.5167,-106.067,11,1659.72727272727,308.407552082983,0.185818210708924
