Species,Phylum,Class,Family
Morphospecies grass,NULL,NULL,NULL
Lupinus caudatus,Tracheophyta,Magnoliopsida,Fabaceae
Agoseris taraxacifolia,Tracheophyta,Magnoliopsida,Asteraceae
Hackelia patens,Tracheophyta,Magnoliopsida,Boraginaceae
Erigeron eatonii,Tracheophyta,Magnoliopsida,Asteraceae
Astragalus sp,Tracheophyta,Magnoliopsida,Fabaceae
Comandra umbellata,Tracheophyta,Magnoliopsida,Santalaceae
Sphaeralcea munroana,Tracheophyta,Magnoliopsida,Malvaceae
Astragalus purshii,Tracheophyta,Magnoliopsida,Fabaceae
Aster sp,Tracheophyta,Magnoliopsida,Asteraceae
Machaeranthera canescens,Tracheophyta,Magnoliopsida,Asteraceae
Machaeranthera sp,Tracheophyta,Magnoliopsida,Asteraceae
Eriogonum sp,Tracheophyta,Magnoliopsida,Polygonaceae
Penstemon sp,Tracheophyta,Magnoliopsida,Plantaginaceae
Senecio integerrimus,Tracheophyta,Magnoliopsida,Asteraceae
Viola beckwithii,Tracheophyta,Magnoliopsida,Violaceae
Astragalus filipes,Tracheophyta,Magnoliopsida,Fabaceae
Penstemon radicosus,Tracheophyta,Magnoliopsida,Plantaginaceae
Astragalus miser,Tracheophyta,Magnoliopsida,Fabaceae
Erigeron pumilus,Tracheophyta,Magnoliopsida,Asteraceae
Morphospecies moss,NULL,NULL,NULL
Antennaria rosea,Tracheophyta,Magnoliopsida,Asteraceae
Carex sp,Tracheophyta,Liliopsida,Cyperaceae
Eriogonum ovalifolium,Tracheophyta,Magnoliopsida,Polygonaceae
Morphospecies lichen,NULL,NULL,NULL
Morphospecies weed,NULL,NULL,NULL
Zigadenus paniculatus,Tracheophyta,Liliopsida,Melanthiaceae
Lithospermum ruderale,Tracheophyta,Magnoliopsida,Boraginaceae
Lomatium foeniculaceum,Tracheophyta,Magnoliopsida,Apiaceae
Lesquerella sp,Cercozoa,Imbricatea,Psammonobiotidae
Morphospecies seedling,NULL,NULL,NULL
Phlox speciosa,Tracheophyta,Magnoliopsida,Polemoniaceae
Eriogonum heracleoides,Tracheophyta,Magnoliopsida,Polygonaceae
Allium sp,Tracheophyta,Liliopsida,Amaryllidaceae
Phlox sp,Tracheophyta,Magnoliopsida,Polemoniaceae
Calochortus nuttallii,Tracheophyta,Liliopsida,Liliaceae
Erigeron sp,Tracheophyta,Magnoliopsida,Asteraceae
Oenothera caespitosa,Tracheophyta,Magnoliopsida,Onagraceae
Erigeron filifolius,Tracheophyta,Magnoliopsida,Asteraceae
Fritillaria atropurpurea,Tracheophyta,Liliopsida,Liliaceae
Chaetopappa ericoides,Tracheophyta,Magnoliopsida,Asteraceae
Aconitum sp,Tracheophyta,Magnoliopsida,Ranunculaceae
Cirsium undulatum,Tracheophyta,Magnoliopsida,Asteraceae
Ericameria nana,Tracheophyta,Magnoliopsida,Asteraceae
Ipomopsis aggregata,Tracheophyta,Magnoliopsida,Polemoniaceae
Schoenocrambe linifolia,Tracheophyta,Magnoliopsida,Brassicaceae
Achillea millefolium,Tracheophyta,Magnoliopsida,Asteraceae
Hordeum jubatum,Tracheophyta,Liliopsida,Poaceae
Morphospecies cactus,NULL,NULL,NULL
Elymus trachycaulus,Tracheophyta,Liliopsida,Poaceae
Symphyotrichum ascendens,Tracheophyta,Magnoliopsida,Asteraceae
Agoseris sp,Tracheophyta,Magnoliopsida,Asteraceae
Fritillaria pudica,Tracheophyta,Liliopsida,Liliaceae
Arnica cordifolia,Tracheophyta,Magnoliopsida,Asteraceae
Hackelia floribunda,Tracheophyta,Magnoliopsida,Boraginaceae
Erigeron concinnus,Tracheophyta,Magnoliopsida,Asteraceae
Taraxacum officinale,Tracheophyta,Magnoliopsida,Asteraceae
Chaenactis douglasii,Tracheophyta,Magnoliopsida,Asteraceae
Ionactis alpina,Tracheophyta,Magnoliopsida,Asteraceae
Eriogonum longifolium,Tracheophyta,Magnoliopsida,Polygonaceae
Arnica amplexicaulis,Tracheophyta,Magnoliopsida,Asteraceae
Sidalcea nervata,Tracheophyta,Magnoliopsida,Malvaceae
Cryptomonadales ,Cryptophyta,Cryptophyceae,NULL
Heterocapsa triquetra,Myzozoa,Dinophyceae,Heterocapsaceae
Nitzschia closterium,Ochrophyta,Bacillariophyceae,Bacillariaceae
Coccolithophoridae ,Ochrophyta,Chrysophyceae,Coccolithophoridae
Dactyliosolen fragilissimus,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Leptocylindrus minimus,Ochrophyta,Bacillariophyceae,Leptocylindraceae
Corymbellus aureus,Haptophyta,Prymnesiophyceae,Prymnesiaceae
Karenia mikimotoi,Myzozoa,Dinophyceae,Kareniaceae
Leptocylindrus danicus,Ochrophyta,Bacillariophyceae,Leptocylindraceae
Paralia sulcata,Ochrophyta,Bacillariophyceae,Paraliaceae
Phytoflagellate ,NULL,NULL,NULL
Dinobryon ,Ochrophyta,Chrysophyceae,Dinobryaceae
Dinoflagellate ,NULL,NULL,NULL
Guinardia delicatula,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Emiliania huxleyi,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae
Chaetoceros didymus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros spec,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Ceratium tripos,Myzozoa,Dinophyceae,Ceratiaceae
Corethron criophilum,Ochrophyta,Bacillariophyceae,Corethraceae
Navicula spec,Ochrophyta,Bacillariophyceae,Naviculaceae
Dinophysis acuminata,Myzozoa,Dinophyceae,Dinophysiaceae
Gephyrocapsa spec,Haptophyta,Prymnesiophyceae,Noelaerhabdaceae
Pleurosigma planctonicum,Ochrophyta,Bacillariophyceae,Pleurosigmataceae
Podosira stelligera,Ochrophyta,Bacillariophyceae,Hyalodiscaceae
Lauderia annulata,Ochrophyta,Bacillariophyceae,Lauderiaceae
Dinophysis punctata,Myzozoa,Dinophyceae,Dinophysiaceae
Guinardia striata,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Mesoporos perforatus,Myzozoa,Dinophyceae,Prorocentraceae
Meuniera membranacea,Ochrophyta,Bacillariophyceae,Naviculaceae
Micranthodinium spec,Myzozoa,Dinophyceae,Cladopyxidaceae
Prorocentrum micans,Myzozoa,Dinophyceae,Prorocentraceae
Pseudo-nitzschia delicatissima,Ochrophyta,Bacillariophyceae,Bacillariaceae
Scripsiella trochoidea,Myzozoa,Dinophyceae,Peridiniaceae
Thalassionema nitzschioides,Ochrophyta,Bacillariophyceae,Thalassionemataceae
Cerataulina pelagica,Ochrophyta,Bacillariophyceae,Hemiaulaceae
Chaetoceros densus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Ceratium fusus,Myzozoa,Dinophyceae,Ceratiaceae
Acanthoica quattrospina,Haptophyta,Prymnesiophyceae,Rhabdosphaeraceae
Chaetoceros radicans,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Pleurosigma ,Ochrophyta,Bacillariophyceae,Pleurosigmataceae
Pseudo-nitzschia seriata,Ochrophyta,Bacillariophyceae,Bacillariaceae
Umbellosphaera spec,Haptophyta,Prymnesiophyceae,Umbellosphaeraceae
Ceratium furca,Myzozoa,Dinophyceae,Ceratiaceae
Delphineis spec,Ochrophyta,Bacillariophyceae,Rhaphoneidaceae
Ceratium horridum,Myzozoa,Dinophyceae,Ceratiaceae
Crystallolithus hyalinus,Haptophyta,Prymnesiophyceae,Syracosphaeraceae
Thalassiosira rotula,Ochrophyta,Bacillariophyceae,Thalassiosiraceae
Chaetoceros debilis,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros decipiens,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Prorocentrum minimum,Myzozoa,Dinophyceae,Prorocentraceae
Skeletonema costatum,Ochrophyta,Bacillariophyceae,Skeletonemataceae
Dictyocha speculum,Ochrophyta,Dictyochophyceae,Dictyochaceae
Eucampia zodiacus,Ochrophyta,Bacillariophyceae,Hemiaulaceae
Halosphaera spec,Chlorophyta,Prasinophyceae,Pyramimonadaceae
Chaetoceros wighamii,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Diploneis cabro,Ochrophyta,Bacillariophyceae,Diploneidaceae
Ditylum brightwellii,Ochrophyta,Bacillariophyceae,Lithodesmiaceae
Gymnodinium pygmaeum,Myzozoa,Dinophyceae,Gymnodiniaceae
Euglenophycean ,Euglenozoa,Euglenoidea,NULL
Leptocylindrus mediterraneus,Ochrophyta,Bacillariophyceae,Leptocylindraceae
Odontella sinensis,Ochrophyta,Bacillariophyceae,Triceratiaceae
Proboscia alata,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Proboscia truncata,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Amylax triacantha,Myzozoa,Dinophyceae,Gonyaulacaceae
Phaeocystis poucheti,Haptophyta,Prymnesiophyceae,Phaeocystaceae
Chaetoceros laciniosus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros affinis,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Gonyaulax spinifera,Myzozoa,Dinophyceae,Gonyaulacaceae
Psammodictyon panduriforme,Ochrophyta,Bacillariophyceae,Bacillariaceae
Nitzschia sigmoidea,Ochrophyta,Bacillariophyceae,Bacillariaceae
Prorcentrum triestinum,Myzozoa,Dinophyceae,Prorocentraceae
Thalassiothrix spec,Ochrophyta,Bacillariophyceae,Thalassionemataceae
Ceratium lineatum,Myzozoa,Dinophyceae,Ceratiaceae
Rhizosolenia hebetata,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Rhizosolenia robusta,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Stephanopyxis palmeriana,Ochrophyta,Bacillariophyceae,Stephanopyxidaceae
Chaetoceros compressus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros socialis,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros teres,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Fragilaria ,Ochrophyta,Bacillariophyceae,Fragilariaceae
Roperia tesselata,Ochrophyta,Bacillariophyceae,Hemidiscaceae
Detonula pumila,Ochrophyta,Bacillariophyceae,Skeletonemataceae
Thalassiosira eccentrica,Ochrophyta,Bacillariophyceae,Thalassiosiraceae
Rhizosolenia styliformis,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Thalassiosira punctigera,Ochrophyta,Bacillariophyceae,Thalassiosiraceae
Fragilariopsis ,Ochrophyta,Bacillariophyceae,Bacillariaceae
Gymnodinium spec,Myzozoa,Dinophyceae,Gymnodiniaceae
Gonyaulax verior,Myzozoa,Dinophyceae,Gonyaulacaceae
Thalassiosira gravida,Ochrophyta,Bacillariophyceae,Thalassiosiraceae
Thalassiosira subtilis,Ochrophyta,Bacillariophyceae,Thalassiosiraceae
Protoceratium reticulatum,Myzozoa,Dinophyceae,Gonyaulacaceae
Chaetoceros similis,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Coscinodiscus granii,Ochrophyta,Bacillariophyceae,Coscinodiscaceae
Syracosphaera pulchra,Haptophyta,Prymnesiophyceae,Syracosphaeraceae
Chaetoceros danicus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros tortissimus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros costatus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros externus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Pseudo-nitzschia pungens,Ochrophyta,Bacillariophyceae,Bacillariaceae
Ceratium longipes,Myzozoa,Dinophyceae,Ceratiaceae
Chaetoceros simplex,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Meringosphaera spec,Ochrophyta,Xanthophyceae,Pleurochloridaceae
Guinardia flaccida,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Dinophysis acuta,Myzozoa,Dinophyceae,Dinophysiaceae
Navicula distans,Ochrophyta,Bacillariophyceae,Naviculaceae
Asterionellopsis glacialis,Ochrophyta,Bacillariophyceae,Fragilariaceae
Dinophysis sacculus,Myzozoa,Dinophyceae,Dinophysiaceae
Gonyaulax spec,Myzozoa,Dinophyceae,Gonyaulacaceae
Prorocentrum balticum,Myzozoa,Dinophyceae,Prorocentraceae
Coccolithus pelagicus,Coccosphaera,Coccosphaera pelagica,NULL
Odontella mobiliensis,Ochrophyta,Bacillariophyceae,Triceratiaceae
Thalassiosira anguste-lineata,Ochrophyta,Bacillariophyceae,Thalassiosiraceae
Pyramimonas spec,Chlorophyta,Prasinophyceae,Pyramimonadaceae
Tropidoneis ,Ochrophyta,Bacillariophyceae,Plagiotropidaceae
Chaetoceros filiformis,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Bacillaria paradoxa,Ochrophyta,Bacillariophyceae,Bacillariaceae
Coscinodiscus radiatus,Ochrophyta,Bacillariophyceae,Coscinodiscaceae
Lithodesmium undulatum,Ochrophyta,Bacillariophyceae,Lithodesmiaceae
Chaetoceros anastomosans,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Chaetoceros willei,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Coronosphaera spec,Haptophyta,Prymnesiophyceae,Syracosphaeraceae
Dactyliosolen blavyanus,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Lioloma delicatulum,Ochrophyta,Bacillariophyceae,Thalassionemataceae
Actinocyclus spec,Mollusca,Gastropoda,Actinocyclidae
Actinoptychus senarius,Ochrophyta,Bacillariophyceae,Heliopeltaceae
Coscinodiscus wailesii,Ochrophyta,Bacillariophyceae,Coscinodiscaceae
Akashiwo sanguinea,Myzozoa,Dinophyceae,Gymnodiniaceae
Heterocapsa spec,Myzozoa,Dinophyceae,Heterocapsaceae
Nanoneis haslea,Ochrophyta,Bacillariophyceae,Nanoneis hasleae
Chaetoceros eibenii,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Phaeocystis motile,Haptophyta,Prymnesiophyceae,Phaeocystaceae
Dictyocha fibula,Ochrophyta,Dictyochophyceae,Dictyochaceae
Braarudosphaera bigelowii,Haptophyta,Prymnesiophyceae,Pontosphaeraceae
Coscinodiscus centralis,Ochrophyta,Bacillariophyceae,Coscinodiscaceae
Bacteriastrum furcatum,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Heterocapsa niei,Myzozoa,Dinophyceae,Heterocapsaceae
Chaetoceros curvisetus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Pterosperma spec,Chlorophyta,Prasinophyceae,Pterospermataceae
Coscinodiscus asteromphalus,Ochrophyta,Bacillariophyceae,Coscinodiscaceae
Brockmanniella brockmannii,Ochrophyta,Bacillariophyceae,Plagiogrammaceae
Chaetoceros lauderi,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Haslea wawrikae,Ochrophyta,Bacillariophyceae,Naviculaceae
Coscinodiscus concinnus,Ochrophyta,Bacillariophyceae,Coscinodiscaceae
Ceratium massiliense,Myzozoa,Dinophyceae,Ceratiaceae
Helicotheca tamesis,Ochrophyta,Bacillariophyceae,Lithodesmiaceae
Chaetoceros peruvianus,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Coccolithophoridae indeterminata,Ochrophyta,Chrysophyceae,Coccolithophoridae
Grammatophora ,Ochrophyta,Bacillariophyceae,Striatellaceae
Melosira spec,Ochrophyta,Bacillariophyceae,Melosiraceae
Licmophora ,Ochrophyta,Bacillariophyceae,Licmophoraceae
Biddulphia alternans,Ochrophyta,Bacillariophyceae,Biddulphiaceae
Gonyaulax digitale,Myzozoa,Dinophyceae,Gonyaulacaceae
Prorocentrum compressum,Myzozoa,Dinophyceae,Prorocentraceae
Raphidophyceae ,Ochrophyta,Raphidophyceae,NULL
Gymnodinium catenatum,Myzozoa,Dinophyceae,Gymnodiniaceae
Achnanthes longipes,Ochrophyta,Bacillariophyceae,Achnanthaceae
Attheya septentrionalis,Ochrophyta,Bacillariophyceae,Attheyaceae
Gymnodinium sp2,Myzozoa,Dinophyceae,Gymnodiniaceae
Prorocentrum dentatum,Myzozoa,Dinophyceae,Prorocentraceae
Caneosphaera molischi,Haptophyta,Prymnesiophyceae,Syracosphaeraceae
Alexandrium tamarense,Myzozoa,Dinophyceae,Gonyaulacaceae
Ceratium macroceros,Myzozoa,Dinophyceae,Ceratiaceae
Rhabdosphaera claviger,Haptophyta,Prymnesiophyceae,Coccolithaceae
Chaetoceros fragilis,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Thalassiosira grandiflora,Ochrophyta,Bacillariophyceae,Thalassiosiraceae
Gymnodinium ochnacea,Myzozoa,Dinophyceae,Gymnodiniaceae
Chaetoceros brevis,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Dinophysis tripos,Myzozoa,Dinophyceae,Dinophysiaceae
Ephemera planamembranacea,Ochrophyta,Bacillariophyceae,Naviculaceae
Rhizosolenia chunii,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Hermit Thrush,Cnidaria,Hydrozoa,Corynidae
Picoides pubescens,Chordata,Aves,Picidae
Dendroica caerulescens,Chordata,Aves,Parulidae
Empidonax minimus,Chordata,Aves,Tyrannidae
Dendroica fusca,Chordata,Aves,Parulidae
Junco hyemalis,Chordata,Aves,Emberizidae
Pheucticus ludovicianus,Chordata,Aves,Cardinalidae
Contopus virens,Chordata,Aves,Tyrannidae
Setophaga ruticilla,Chordata,Aves,Parulidae
White-breasted nuthatch,NULL,NULL,NULL
Catharus guttatus,Chordata,Aves,Turdidae
Setophaga fusca,Chordata,Aves,Parulidae
Hylocichla mustelina,Chordata,Aves,Turdidae
Setophaga virens,Chordata,Aves,Parulidae
Hairy woodpecker,NULL,NULL,NULL
Picoides villosus,Chordata,Aves,Picidae
Ovenbird,NULL,NULL,NULL
Dryocopus pileatus,Chordata,Aves,Picidae
Catharus fuscescens,Chordata,Aves,Turdidae
Catharus ustulatus,Chordata,Aves,Turdidae
Piranga olivacea,Chordata,Aves,Cardinalidae
Archilochus colubris,Chordata,Aves,Trochilidae
Black-capped chickadee,NULL,NULL,NULL
Blue jay,NULL,NULL,NULL
Brown creeper,NULL,NULL,NULL
Vireo olivaceus,Chordata,Aves,Vireonidae
Vireo philadelphicus,Chordata,Aves,Vireonidae
Carpodacus purpureus,Chordata,Aves,Fringillidae
Poecile atrcapillus,Chordata,Aves,Paridae
Certhia americana,Chordata,Aves,Certhiidae
Rose-breasted grosbeak,NULL,NULL,NULL
Sitta carolinensis,Chordata,Aves,Sittidae
Bonasa umbellus,Chordata,Aves,Phasianidae
Troglodytes hiemalis,Chordata,Aves,Troglodytidae
Downy woodpecker,NULL,NULL,NULL
Red-eyed vireo,NULL,NULL,NULL
Dendroica coronata,Chordata,Aves,Parulidae
Winter wren,NULL,NULL,NULL
Turdus migratorius,Chordata,Aves,Turdidae
Red-breasted nuthatch,NULL,NULL,NULL
Seiurus aurocapilla,Chordata,Aves,Parulidae
Setophaga caerulescens,Chordata,Aves,Parulidae
Vireo spec,Chordata,Aves,Vireonidae
Sphyrapicus varius,Chordata,Aves,Picidae
Yellow-throated Warbler,NULL,NULL,NULL
Solitary Vireo,NULL,NULL,NULL
Swainsons Thrush,Tracheophyta,Magnoliopsida,Fabaceae
Yellow-bellied Sapsucker,NULL,NULL,NULL
Mniotilta varia,Chordata,Aves,Parulidae
Wood thrush,NULL,NULL,NULL
Cyanocitta cristata,Chordata,Aves,Corvidae
Dark-eyed junco,NULL,NULL,NULL
Cardinalidae ,Chordata,Aves,Cardinalidae
Contopus spec,Chordata,Aves,Tyrannidae
Dendroica discolor,Chordata,Aves,Parulidae
Spizella passerina,Chordata,Aves,Emberizidae
Coccyzus erythropthalmus,Chordata,Aves,Cuculidae
Baeolophus bicolor,Chordata,Aves,Paridae
Caprimulgus vociferus,Chordata,Aves,Caprimulgidae
Corvus spec,Chordata,Aves,Corvidae
Zenaida macroura,Chordata,Aves,Columbidae
Pipilo spec,Chordata,Aves,Emberizidae
Coragyps atratus,Chordata,Aves,Cathartidae
Coccyzus americanus,Chordata,Aves,Cuculidae
Dendroica cerulea,Chordata,Aves,Parulidae
Thryomanes bewickii,Chordata,Aves,Troglodytidae
Polioptilidae ,Chordata,Aves,Polioptilidae
Poecile carolinensis,Chordata,Aves,Paridae
Sayornis spec,Chordata,Aves,Tyrannidae
Sialia spec,Chordata,Aves,Turdidae
Saxicolinae ,Chordata,Aves,Saxicolidae
Spizella pusilla,Chordata,Aves,Emberizidae
Thryothorus ludovicianus,Chordata,Aves,Troglodytidae
Vireo flavifrons,Chordata,Aves,Vireonidae
Vireo griseus,Chordata,Aves,Vireonidae
Wilsonia citrina,Chordata,Aves,Parulidae
Geothlypis trichas,Chordata,Aves,Parulidae
Helmitheros vermivorum,Chordata,Aves,Parulidae
Melanerpus carolinus,Chordata,Aves,Picidae
Melospiza melodia,Chordata,Aves,Emberizidae
Myiarchus crinitus,Chordata,Aves,Tyrannidae
Oporornis formosus,Chordata,Aves,Parulidae
Parkesia motacilla,Chordata,Aves,Parulidae
Empidonax virescens,Chordata,Aves,Tyrannidae
Piranga rubra,Chordata,Aves,Cardinalidae
Passerina cyanea,Chordata,Aves,Cardinalidae
Trochilidae ,Chordata,Aves,Trochilidae
Vermivora cyanoptera,Chordata,Aves,Parulidae
Dumetella carolinensis,Chordata,Aves,Mimidae
Colaptes auratus,Chordata,Aves,Picidae
Dendroica petechia,Chordata,Aves,Parulidae
Bubo spec,Chordata,Aves,Strigidae
Megascops spec,Chordata,Aves,Strigidae
Accipiter striatus,Chordata,Aves,Accipitridae
Cathartes aura,Chordata,Aves,Cathartidae
Passer domesticus,Chordata,Aves,Passeridae
Lutjanus kasmira,Chordata,Actinopterygii,Lutjanidae
Gnathodentex aureolineatus,Chordata,Actinopterygii,Lethrinidae
Epinephelus merra,Chordata,Actinopterygii,Serranidae
Labroides dimidiatus,Chordata,Actinopterygii,Labridae
Pseudojuloides atavai,Chordata,Actinopterygii,Labridae
Heniochus chrysostomus,Chordata,Actinopterygii,Chaetodontidae
Labroides bicolor,Chordata,Actinopterygii,Labridae
Dascyllus aruanus,Chordata,Actinopterygii,Pomacentridae
Pomacentrus pavo,Chordata,Actinopterygii,Pomacentridae
Gomphosus varius,Chordata,Actinopterygii,Labridae
Scarus psittacus,Chordata,Actinopterygii,Scaridae
Melichthys vidua,Chordata,Actinopterygii,Balistidae
Halichoeres trimaculatus,Chordata,Actinopterygii,Labridae
Parapercis millepunctata,Chordata,Actinopterygii,Pinguipedidae
Parupeneus insularis,Chordata,Actinopterygii,Mullidae
Pygoplites diacanthus,Chordata,Actinopterygii,Pomacanthidae
Dascyllus trimaculatus,Chordata,Actinopterygii,Pomacentridae
Ctenochaetus striatus,Chordata,Actinopterygii,Acanthuridae
Dascyllus flavicaudus,Chordata,Actinopterygii,Pomacentridae
Epibulus insidiator,Chordata,Actinopterygii,Labridae
Fistularia commersonii,Chordata,Actinopterygii,Fistulariidae
Forcipiger flavissimus,Chordata,Actinopterygii,Chaetodontidae
Lutjanus fulvus,Chordata,Actinopterygii,Lutjanidae
Stegastes nigricans,Chordata,Actinopterygii,Pomacentridae
Pseudocheilinus hexataenia,Chordata,Actinopterygii,Labridae
Scarus oviceps,Chordata,Actinopterygii,Scaridae
Myripristis amaena,Chordata,Actinopterygii,Holocentridae
Myripristis kuntee,Chordata,Actinopterygii,Holocentridae
Naso annulatus,Chordata,Actinopterygii,Acanthuridae
Thalassoma lutescens,Chordata,Actinopterygii,Labridae
Valenciennea strigata,Chordata,Actinopterygii,Gobiidae
Naso lituratus,Chordata,Actinopterygii,Acanthuridae
Neoniphon argenteus,Chordata,Actinopterygii,Holocentridae
Plectroglyphidodon dickii,Chordata,Actinopterygii,Pomacentridae
Halichoeres hortulanus,Chordata,Actinopterygii,Labridae
