REALM,taxa_mod,Species_orig,Genus,species,mass_g,length_cm,source,notes,name_data_entry,date_searched
Marine,All,Calliarthron_cheilosporioid,,,,,,,,
Marine,All,Callinectes_sapidus,,,,,,,,
Marine,All,Callionymus_filamentosus,,,,,,,,
Marine,All,Callionymus_sp,,,,,,,,
Marine,All,Callophyllis_flabellulata,,,,,,,,
Marine,All,Capros_aper,,,,,,,,
Marine,All,Caranx_crysos,,,,,,,,
Marine,All,Caranx_rhonchus,,,,,,,,
Marine,All,Carcharinus_obscurus,,,,,,,,
Marine,All,Caretta_caretta,,,,,,,,
Marine,All,Cavolinia_sp,,,,,,,,
Marine,All,Celina_sp,,,,,,,,
Marine,All,Celithemis_eponina,,,,,,,,
Marine,All,Cellaria_sp,,,,,,,,
Marine,All,Celleporina_robertsoniae,,,,,,,,
Marine,All,Centrostephanus_longispinus,,,,,,,,
Marine,All,Chaceia_ovoidea,,,,,,,,
Marine,All,Charybdis_longicollis,,,,,,,,
Marine,All,Cheilopogon_heterurus,,,,,,,,
Marine,All,Chelyosoma_productum,,,,,,,,
Marine,All,Chironomidae_NA,,,,,,,,
Marine,All,Chlopsis_bicolor,,,,,,,,
Marine,All,Chlorophthalmus_agassizii,,,,,,,,
Marine,All,Chloroscombrus_chrysurus,,,,,,,,
Marine,All,Chondracanthus_sp,,,,,,,,
Marine,All,Chondracanthus_spinosa,,,,,,,,
Marine,All,Cichlasoma_bimaculatum,,,,,,,,
Marine,All,Cichlasoma_uropthalmus,,,,,,,,
Marine,All,Cidaris_cidaris,,,,,,,,
Marine,All,Cirriformia_luxuriosa,,,,,,,,
Marine,All,Citharus_linguatula,,,,,,,,
Marine,All,Cladium_jamaicense,,,,,,,,
Marine,All,Cladophora_graminea,,,,,,,,
Marine,All,Clarias_batrachus,,,,,,,,
Marine,All,Clavelina_sp,,,,,,,,
Marine,All,Codium_fragile,,,,,,,,
Marine,All,Coelorhynchus_Coelorhynchus,,,,,,,,
Marine,All,Coenagrionidae_NA,,,,,,,,
Marine,All,Coleoptera_NA,,,,,,,,
Marine,All,Colpomenia_sp,,,,,,,,
Marine,All,Colubridae_NA,,,,,,,,
Marine,All,Compound_tunicate,,,,,,,,
Marine,All,Conger_conger,,,,,,,,
Marine,All,Conger_sp,,,,,,,,
Marine,All,Conomurex_persicus,,,,,,,,
Marine,All,Corallina_chilensis,,,,,,,,
Marine,All,Corixidae_NA,,,,,,,,
Marine,All,Corynactis_californica,,,,,,,,
Marine,All,Coryphaeschna_ingens,,,,,,,,
Marine,All,Coscianasterias_tenuispina,,,,,,,,
Marine,All,Crassedoma_giganteum,,,,,,,,
Marine,All,Crinum_americanum,,,,,,,,
Marine,All,Crisia_occidentalis,,,,,,,,
Marine,All,Crocothemis_servili,,,,,,,,
Marine,All,Cryptopleura_ruprechtiana,,,,,,,,
Marine,All,Cryptopleura_sp,,,,,,,,
Marine,All,Ctenolabrus_rupestris,,,,,,,,
Marine,All,Cucumaria_piperata,,,,,,,,
Marine,All,Cucumaria_salma,,,,,,,,
Marine,All,Cucumaria_sp,,,,,,,,
Marine,All,Cybister_sp,,,,,,,,
Marine,All,Cynoglossus_sinusarabici,,,,,,,,
Marine,All,Cyperus_sp,,,,,,,,
Marine,All,Cyprinodon_variegatus,,,,,,,,
Marine,All,Cystoseira_osmundaceae,,,,,,,,
Marine,All,Dactylopterus_volitans,,,,,,,,
Marine,All,Dalophis_imberbis,,,,,,,,
Marine,All,Dardanus_arrosor,,,,,,,,
Marine,All,Dasyatis_pastinaca,,,,,,,,
Marine,All,Dasyatis_sp,,,,,,,,
Marine,All,Dasyatis_tortonesei,,,,,,,,
Marine,All,Decapterus_russelli,,,,,,,,
Marine,All,Deltentosteus_quadrimaculatus,,,,,,,,
Marine,All,Dentex_Maroccanus,,,,,,,,
Marine,All,Dentex_dentex,,,,,,,,
Marine,All,Dentex_gibbosus,,,,,,,,
Marine,All,Dentex_macrophtalmus,,,,,,,,
Marine,All,Dentex_macrophthalmus,,,,,,,,
Marine,All,Dentex_sp,,,,,,,,
Marine,All,Desmarestia_ligulata,,,,,,,,
Marine,All,Diaperoforma_californica,,,,,,,,
Marine,All,Diaphus_rafinesquei,,,,,,,,
Marine,All,Diatom_Mat,,,,,,,,
Marine,All,Dicentrarchus_labrax,,,,,,,,
Marine,All,Dicentrarchus_punctatus,,,,,,,,
Marine,All,Dictyopteris_undulata,,,,,,,,
Marine,All,Dictyota_sp,,,,,,,,
Marine,All,Diopatra_ornata,,,,,,,,
Marine,All,Diplodus_annularis,,,,,,,,
Marine,All,Diplodus_cervinus,,,,,,,,
Marine,All,Diplodus_puntazzo,,,,,,,,
Marine,All,Diplodus_sargus,,,,,,,,
Marine,All,Diplodus_vulgaris,,,,,,,,
Marine,All,Diptera_NA,,,,,,,,
Marine,All,Dipturus_oxyrinchus,,,,,,,,
Marine,All,Dodecaceria_fewkesi,,,,,,,,
Marine,All,Dussumieria_elopsoides,,,,,,,,
Marine,All,Echelus_myrus,,,,,,,,
Marine,All,Echeneis_naucrates,,,,,,,,
Marine,All,Egregia_menziesii,,,,,,,,
Marine,All,Eisenia_arborea,,,,,,,,
Marine,All,Elassoma_evergladei,,,,,,,,
Marine,All,Eleocharis_cellulosa,,,,,,,,
Marine,All,Eleocharis_elongata,,,,,,,,
Marine,All,Eleocharis_sp,,,,,,,,
Marine,All,Encrusting Bryozoan_sp,,,,,,,,
Marine,All,Encrusting coralline_sp,,,,,,,,
Marine,All,Encrusting red algae_sp,,,,,,,,
Marine,All,Encrusting sponge_sp,,,,,,,,
Marine,All,Engraulis_encrasicolus,,,,,,,,
Marine,All,Enneacanthus_gloriosus,,,,,,,,
Marine,All,Ephemeroptera_NA,,,,,,,,
Marine,All,Epinephelus_aeneus,,,,,,,,
Marine,All,Epinephelus_costea,,,,,,,,
Marine,All,Epinephelus_haifensis,,,,,,,,
Marine,All,Epinephelus_marginatus,,,,,,,,
Marine,All,Epitheca_stella,,,,,,,,
Marine,All,Erimyzon_sucetta,,,,,,,,
Marine,All,Eriocaulon_decangulare,,,,,,,,
Marine,All,Erugosquilla_massavensis,,,,,,,,
Marine,All,Erythemis_simplicicollis,,,,,,,,
Marine,All,Erythemis_vesiculosa,,,,,,,,
Marine,All,Esox_americanus,,,,,,,,
Marine,All,Esox_niger,,,,,,,,
Marine,All,Etrumeus_teres,,,,,,,,
Marine,All,Eucrate_crenata,,,,,,,,
Marine,All,Eudistylia_polymorpha,,,,,,,,
Marine,All,Euherdmania_claviformis,,,,,,,,
Marine,All,Eupentacta_quinquesemita,,,,,,,,
Marine,All,Euthynnus_alletteratus,,,,,,,,
Marine,All,Eutrigla_gurnardus,,,,,,,,
Marine,All,Facciolella_oxyrhyncha,,,,,,,,
Marine,All,Fauchea_sp,,,,,,,,
Marine,All,Filamentous brown_sp,,,,,,,,
Marine,All,Filamentous green_sp,,,,,,,,
Marine,All,Filamentous red_sp,,,,,,,,
Marine,All,Fistularia_commersoni,,,,,,,,
Marine,All,Fistularia_commersonii,,,,,,,,
Marine,All,Fundulus_chrysotus,,,,,,,,
Marine,All,Fundulus_confluentus,,,,,,,,
Marine,All,Fundulus_seminolis,,,,,,,,
Marine,All,Fusinus_sp,,,,,,,,
Marine,All,Gambusia_holbrooki,,,,,,,,
Marine,All,Gelidium_robustum,,,,,,,,
Marine,All,Gelidium_sp,,,,,,,,
Marine,All,Gerris_sp,,,,,,,,
Marine,All,Gnatholepis_mystax,,,,,,,,
Marine,All,Gobius_niger,,,,,,,,
Marine,All,Gobius_sp,,,,,,,,
Marine,All,Gracilaria_sp,,,,,,,,
Marine,All,Green_filamentous_algae_NA,,,,,,,,
Marine,All,Gymnogongrus_sp,,,,,,,,
Marine,All,Gymnura_altavela,,,,,,,,
Marine,All,Hacelia_attenuata,,,,,,,,
Marine,All,Halosaccion_glandiforme,,,,,,,,
Marine,All,Helicolenus_dactylopterus,,,,,,,,
Marine,All,Hemichromis_bimaculatus,,,,,,,,
Marine,All,Hemiramphus_far,,,,,,,,
Marine,All,Henichromis_sp,,,,,,,,
Marine,All,Herklotsichthys_punctatus,,,,,,,,
Marine,All,Heterandria_formosa,,,,,,,,
Marine,All,Heteropora_pacifica,,,,,,,,
Marine,All,Himantura_uaranak,,,,,,,,
Marine,All,Hippocampus_guttulatus,,,,,,,,
Marine,All,Hippocampus_hippocampus,,,,,,,,
Marine,All,Hipporina_mexicana,,,,,,,,
Marine,All,Hirudinea_NA,,,,,,,,
Marine,All,Hoplostethus_mediterraneus,,,,,,,,
Marine,All,Hyastenus_hilgendorfi,,,,,,,,
Marine,All,Hyla_cineria,,,,,,,,
Marine,All,Hymenocallis_latifolia,,,,,,,,
Marine,All,Hyporhamphus_affinis,,,,,,,,
Marine,All,Idataphe_cubensis,,,,,,,,
Marine,All,Idiataphe_cubensis,,,,,,,,
Marine,All,Illex_coindeti,,,,,,,,
Marine,All,Inachus_dorsettensis,,,,,,,,
Marine,All,Ixa_monodi,,,,,,,,
Marine,All,Jordanella_floridae,,,,,,,,
Marine,All,Justicia_ovata,,,,,,,,
Marine,All,Kinosternidae_NA,,,,,,,,
Marine,All,Labidesthes_sicculus,,,,,,,,
Marine,All,Lagocephalus_sceleratus,,,,,,,,
Marine,All,Lagocephalus_spadiceus,,,,,,,,
Marine,All,Lagocephalus_suezensis,,,,,,,,
Marine,All,Laminaria_farlowii,,,,,,,,
Marine,All,Latriella_elegans,,,,,,,,
Marine,All,Laurencia_sp,,,,,,,,
Marine,All,Leersia_hexandra,,,,,,,,
Marine,All,Leiognathus_klunzingeri,,,,,,,,
Marine,All,Lepidoptera_NA,,,,,,,,
Marine,All,Lepidopus_caudatus,,,,,,,,
